Attack_Type,Transport_Protocol,Total_Bytes_Sent,Total_Bytes_Received,Average_Duration_Seconds,Flow_Count
DDoS-ICMP_Fragmentation,TCP,5592644.0,3728400.0,0.0,202
DDoS-TCP_Flood,UDP,1938070.0,1292032.0,0.0,167
DoS-UDP_Flood,TCP,4217776.0,2811835.0,0.0,159
DictionaryBruteForce,OTHER,86691.0,57778.0,0.0,142
DDoS-HTTP_Flood-,UDP,912913.0,608591.0,0.0,115
Recon-OSScan,ICMP,82686.0,55116.0,0.0,95
DNS_Spoofing,ICMP,78258.0,52165.0,0.0,86
DDoS-SYN_Flood,UDP,868841.0,579211.0,0.0,83
BrowserHijacking,OTHER,52737.0,35143.0,0.0,76
CommandInjection,OTHER,47176.0,31440.0,0.0,74
XSS,OTHER,42762.0,28501.0,0.0,66
Recon-HostDiscovery,ICMP,35580.0,23714.0,0.0,55
DoS-TCP_Flood,UDP,2837960.0,1891966.0,0.0,51
Recon-PortScan,ICMP,32012.0,21334.0,0.0,43
DDoS-ICMP_Fragmentation,UDP,783006.0,521999.0,0.0,42
SqlInjection,OTHER,23538.0,15690.0,0.0,39
DDoS-PSHACK_Flood,UDP,595844.0,397224.0,0.0,39
Backdoor_Malware,OTHER,26812.0,17868.0,0.0,38
DoS-HTTP_Flood,UDP,748100.0,498727.0,0.0,34
DDoS-ICMP_Fragmentation,OTHER,273828.0,182546.0,0.0,29
Uploading_Attack,OTHER,16487.0,10989.0,0.0,25
CommandInjection,ICMP,20026.0,13348.0,0.0,24
Mirai-greip_flood,UDP,488930.0,325951.0,0.0,19
DictionaryBruteForce,ICMP,14419.0,9610.0,0.0,18
Uploading_Attack,ICMP,14844.0,9894.0,0.0,16
Backdoor_Malware,ICMP,11531.0,7686.0,0.0,13
DDoS-ICMP_Flood,UDP,357500.0,238332.0,0.0,12
XSS,ICMP,11734.0,7822.0,0.0,9
DDoS-SynonymousIP_Flood,UDP,62419.0,41613.0,0.0,9
DoS-SYN_Flood,UDP,228529.0,152353.0,0.0,8
DDoS-ICMP_Flood,OTHER,37456.0,24970.0,0.0,8
Mirai-greeth_flood,UDP,374040.0,249359.0,0.0,7
Mirai-udpplain,OTHER,40699.0,27132.0,0.0,6
DDoS-UDP_Fragmentation,OTHER,113580.0,75720.0,0.0,5
Recon-PingSweep,ICMP,2645.0,1763.0,0.0,5
DDoS-PSHACK_Flood,OTHER,24708.0,16472.0,0.0,4
DDoS-ACK_Fragmentation,OTHER,77481.0,51653.0,0.0,4
BrowserHijacking,ICMP,3553.0,2369.0,0.0,4
DDoS-TCP_Flood,OTHER,21607.0,14405.0,0.0,4
DDoS-UDP_Flood,OTHER,22358.0,14905.0,0.0,4
SqlInjection,ICMP,2887.0,1925.0,0.0,3
DDoS-RSTFINFlood,UDP,43526.0,29018.0,0.0,3
Mirai-greip_flood,ICMP,62688.0,41791.0,0.0,2
DDoS-HTTP_Flood-,OTHER,3741.0,2494.0,0.0,1
DDoS-SlowLoris,OTHER,6992.0,4661.0,0.0,1
DoS-TCP_Flood,OTHER,6518.0,4345.0,0.0,1
